No,Nama Wisata,Kategori,Lokasi (Kecamatan),Titi Koordinat,Jam Operasional,Harga Tiket,Deskripsi,Noted,,,,,,No,Nama Wisata,Foto,
1,Pantai Kartini,Wisata Alam,Jepara,Buka Maps,07.00 - 19.00,"Rp10,000",Ikon utama Jepara dengan dermaga penyeberangan.,Pembayaran tunai; parkir luas.,,,,,,1,Pantai Kartini,1,2
2,Pantai Bandengan,Wisata Alam,Jepara,Buka Maps,07.00 - 18.00,Rp10.000 - Rp15.000,Pantai pasir putih dengan fasilitas water sport lengkap.,Sangat ramai saat akhir pekan.,,,,,,2,Pantai Bandengan,,
3,Songgolangit,Wisata Alam,Kembang,Buka Maps,07.00 - 17.00,"Rp10,000",Air terjun tinggi dengan pemandangan tebing alam.,Jalur akses cukup menanjak.,,,,,,3,Songgolangit,3,4
4,Karimunjawa,Wisata Alam,Karimunjawa,Buka Maps,24 Jam,Rp130k+ (Kapal),Taman Nasional Laut dengan spot snorkeling terbaik.,Perlu booking kapal jauh hari.,,,,,,4,Karimunjawa,,
5,Pulau Panjang,Wisata Alam,Jepara,Buka Maps,07.30 - 16.00,Rp25.000 (Kapal),Pulau kecil berpasir putih untuk snorkeling/camping.,Akses perahu via Pantai Kartini.,,,,,,5,Pulau Panjang,5,6
6,Pantai Blebak,Wisata Alam,Mlonggo,Buka Maps,24 Jam,"Rp5,000","Pantai dangkal dan tenang, aman untuk anak-anak.",Banyak warung seafood murah.,,,,,,6,Pantai Blebak,,
7,Pantai Teluk Awur,Wisata Alam,Tahunan,Buka Maps,24 Jam,Gratis (Bayar Parkir),Spot populer untuk melihat sunset di pinggir pantai.,Lokasi dekat dengan Unisnu.,,,,,,7,Pantai Teluk Awur,7,8
8,Pantai Empu Rancak,Wisata Alam,Mlonggo,Buka Maps,07.00 - 17.00,"Rp5,000",Sentra kuliner ikan bakar khas Jepara.,Cocok untuk makan siang keluarga.,,,,,,8,Pantai Empu Rancak,,
9,Pantai Pailus,Wisata Alam,Mlonggo,Buka Maps,24 Jam,"Rp5,000","Pantai ""perawan"" yang sangat asri dan belum banyak bangunan.",Bawa bekal (minim fasilitas).,,,,,,9,Pantai Pailus,9,10
10,Pantai Bringin,Wisata Alam,Keling,Buka Maps,07.00 - 18.00,"Rp5,000",Pantai dengan deretan pohon beringin yang teduh.,Lokasi di utara Jepara.,,,,,,10,Pantai Bringin,,
11,Pantai Bondo,Wisata Alam,Bangsri,Buka Maps,24 Jam,Rp5.000 - Rp10.000,Pantai tanpa ombak (Ombak Mati) dengan cafe kekinian.,Vibes mirip Bali di sore hari.,,,,,,11,Pantai Bondo,11,12
12,Pulau Mandalika,Wisata Alam,Donorojo,Buka Maps,07.00 - 16.00,Rp30k (Sewa Perahu),Pulau depan Benteng Portugis dengan mercusuar tua.,Akses via perahu nelayan.,,,,,,12,Pulau Mandalika,,
13,Telaga Sejuta Akar,Wisata Alam,Bangsri,Buka Maps,07.00 - 17.00,"Rp5,000",Sumber mata air dengan akar pohon karet raksasa.,Lokasi sejuk dan tenang.,,,,,,13,Telaga Sejuta Akar,13,14
14,Goa Manik Pecatu,Wisata Alam,Donorojo,Buka Maps,07.00 - 18.00,"Rp5,000",Bukit pinggir pantai dengan pemandangan lepas laut.,Dekat dengan RS Donorojo.,,,,,,14,Goa Manik Pecatu,,
15,Goa Tritip,Wisata Alam,Donorojo,Buka Maps,07.00 - 17.00,"Rp5,000",Goa alam yang kental dengan suasana spiritual.,Sering dikunjungi untuk ziarah.,,,,,,15,Goa Tritip,15,16
16,Pantai Semat,Wisata Alam,Tahunan,Buka Maps,05.00 - 21.00,Gratis,Pantai nelayan dengan dermaga kayu yang estetik.,Terkenal dengan kuliner Sego Menir.,,,,,,16,Pantai Semat,,
17,Pantai Seribu Ranting,Wisata Alam,Kedung,Buka Maps,07.00 - 18.00,"Rp5,000",Pantai unik dengan dekorasi alami dari ranting kayu.,Sangat Instagramable.,,,,,,17,Pantai Sejuta Ranting,17,18
18,Benteng Portugis,Wisata Sejarah,Donorojo,Buka Maps,07.00 - 18.00,Rp5.000 - Rp10.000,Benteng peninggalan sejarah di atas bukit batu.,View laut menghadap P. Mandalika.,,,,,,18,Benteng Portugis,,
19,Taman Ari - Ari Kartini,Wisata Sejarah,Mayong,Buka Maps,06.00 - 21.00,Sukarela,Situs tempat ditanamnya ari-ari RA Kartini di Mayong.,Wisata edukasi sejarah nasional.,,,,,,19,Ari - Ari Kartini,19,20
20,Museum Kartini,Wisata Sejarah,Jepara,Buka Maps,08.00 - 16.00,Rp8.000 - Rp15.000,Galeri peninggalan RA Kartini dan sejarah Jepara.,Lokasi tepat di depan Alun-alun.,,,,,,20,Museum Kartini,,
21,Hari Jadi Jepara,Wisata Sejarah,Jepara,Buka Maps,10-Apr,Gratis,Perayaan tahunan kota dengan kirab budaya besar.,Berpusat di Pendapa Kabupaten.,,,,,,21,Hari Jadi Jepara,21,22
22,Sonder (Pertapaan Ratu Kalinyamat),Wisata Sejarah,Donorojo,Buka Maps,07.00 - 17.00,"Rp5,000",Kawasan hutan lindung bekas pertapaan sejarah.,Suasana asri dan sunyi.,,,,,,22,Sonder,,
23,Klenteng Hian Thian ST,Wisata Sejarah,Welahan,Buka Maps,08.00 - 17.00,Gratis,Klenteng bersejarah pusat kebudayaan Tionghoa.,Salah satu klenteng tertua.,,,,,,23,Klenteng Hian Thian ST,23,24
24,Gong Perdamaian,Wisata Sejarah,Pakis Aji,Buka Maps,08.00 - 17.00,"Rp5,000",Monumen perdamaian dunia di Desa Plajan.,Terdapat koleksi gong dunia.,,,,,,24,Gong Perdamaian,,
25,Makam Mantingan,Wisata Budaya,Tahunan,Buka Maps,24 Jam,Gratis (Infak),Komplek makam Ratu Kalinyamat dan Masjid kuno.,Wajib berpakaian sopan/muslim.,,,,,,25,Makam Mantingan,25,26
26,Perang Obor,Wisata Budaya,Tahunan,Buka Maps,Event Tahunan,Gratis,Tradisi adu obor pelepah kelapa di Tegalsambi.,Digelar Senin Pahing bulan Apit.,,,,,,26,Perang Obor,,
27,Jembul Tulakan,Wisata Budaya,Donorojo,Buka Maps,Event Tahunan,Gratis,Tradisi sedekah bumi unik dengan arak-arakan.,Budaya asli dari Desa Tulakan.,,,,,,27,Jembul Tulakan,27,28
28,Baratan,Wisata Budaya,Kalinyamatan,Buka Maps,Malam 15 Sya'ban,Gratis,Kirab lampion tradisional mengenang Ratu Kalinyamat.,Ribuan lampion di sepanjang jalan.,,,,,,28,Baratan,,
29,Lomban,Wisata Budaya,Jepara,Buka Maps,H+7 Lebaran,"Rp10,000",Pesta laut pelarungan kepala kerbau ke tengah laut.,Hari raya nelayan Jepara.,,,,,,29,Lomban,29,30
30,Kura-Kura Ocean Park,Wisata Buatan,Jepara,Buka Maps,09.00 - 17.00,Rp15.000 - Rp20.000,Akuarium raksasa dengan edukasi biota laut.,Berada di dalam Pantai Kartini.,,,,,,30,Kura-Kura Ocean Park,,
31,Pungkruk,Wisata Buatan,Mlonggo,Buka Maps,24 Jam,Gratis (Parkir),Kawasan kuliner seafood dengan gazebo di atas air.,Sangat pas untuk makan malam.,,,,,,31,Pungkruk,31,32
32,WB. Tiara Park,Wisata Buatan,Kalinyamatan,Buka Maps,08.00 - 17.00,"Rp20,000",Waterboom keluarga dengan wahana bermain lengkap.,Populer untuk wisata anak.,,,,,,32,WB. Tiara Park,,
33,JOP (Ourland Park),Wisata Buatan,Mlonggo,Buka Maps,09.00 - 17.00,Rp60.000 - Rp75.000,Waterpark terbesar dengan tema istana Timur Tengah.,Fasilitas sangat lengkap & mewah.,,,,,,33,JOP (Ourland Park),33,34
34,Industri Mulyoharjo,Desa Pariwisata,Jepara,Buka Maps,08.00 - 20.00,Gratis,Pusat kerajinan patung kayu dan seni ukir tinggi.,Bisa beli souvenir langsung.,,,,,,34,Industri Mulyoharjo,,
35,Desa Wisata Tempur,Desa Pariwisata,Keling,Buka Maps,24 Jam,"Rp5,000",Desa lembah gunung dengan pemandangan kopi & sawah.,Sering disebut Swiss-nya Jepara.,,,,,,35,Desa Wisata Tempur,35,36
36,Desa Petekeyan,Desa Pariwisata,Tahunan,Buka Maps,08.00 - 17.00,Gratis,Kampoeng Sembada Ukir pusat pengrajin lokal.,Edukasi ukir kayu untuk turis.,,,,,,36,Desa Petekeyan,,
37,Desa Troso,Desa Pariwisata,Pecangaan,Buka Maps,08.00 - 18.00,Gratis,Pusat industri Tenun Ikat yang sudah mendunia.,Bisa belanja kain di galeri lokal.,,,,,,37,Desa Troso,37,38
38,Desa Wisata Kunir,Desa Pariwisata,Keling,Buka Maps,08.00 - 17.00,"Rp5,000",Wisata berbasis alam dan pertanian pegunungan.,Udara sejuk dan asri.,,,,,,38,Desa Wisata Kunir,,
39,Desa Wisata Tanjung,Desa Pariwisata,Pakis Aji,Buka Maps,08.00 - 17.00,Gratis,Desa wisata berbasis budaya dan sejarah lokal.,Jalur sejuk ke arah Gunung Muria.,,,,,,39,Desa Wisata Tanjung,39,40
40,Lain-lain,-,-,-,-,-,Tambahan kategori wisata baru masa depan.,-,,,,,,40,Lain-lain,,
